player_name,salary,team_abbreviation,age,player_height,player_weight,country,draft_year,draft_round,draft_number,games_played,pts,reb,ast,offensive_reb_pct,defensive_reb_pct,usage_pct,true_shooting_pct,assist_pct
Tim Duncan,9658000,SAS,25.0,213.36,117.93392,US Virgin Islands,1997,1,1,82,22.2,12.2,3.0,0.09700000000000000,0.24600000000000000,0.287,0.536,0.15
Tim Hardaway,12000000,MIA,34.0,182.88,88.45044,USA,1989,1,14,77,14.9,2.6,6.3,0.012,0.081,0.244,0.513,0.344
Tim James,783000,CHH,24.0,200.66,96.16150400000000,USA,1999,1,25,30,1.5,1.2,0.3,0.099,0.11,0.154,0.387,0.065
Tim Thomas,8507000,MIL,24.0,208.28,104.32616,USA,1997,1,7,76,12.6,4.1,1.8,0.044000000000000000,0.128,0.214,0.5490000000000000,0.10800000000000000
Todd Day,,MIN,31.0,198.12,85.275296,USA,1992,1,8,31,4.3,1.2,0.9,0.035,0.094,0.203,0.515,0.131
Todd Fuller,,MIA,26.0,210.82,115.66596000000000,USA,1996,1,11,10,2.8,1.8,0.1,0.092,0.2,0.256,0.363,0.027000000000000000
Todd MacCulloch,423000,PHI,25.0,213.36,115.66596000000000,Canada,1999,2,47,63,4.1,2.7,0.2,0.135,0.182,0.18100000000000000,0.607,0.03
Tom Gugliotta,9336000,PHX,31.0,208.28,108.86208,USA,1992,1,6,57,6.4,4.5,1.0,0.071,0.17800000000000000,0.179,0.43700000000000000,0.078
Tom Hammonds,1130000,MIN,34.0,205.74,97.52228000000000,USA,1989,1,9,7,1.0,0.6,0.1,0.071,0.08,0.198,0.322,0.04
Toni Kukoc,7167000,ATL,32.0,210.82,106.59412000000000,Croatia,1990,2,29,65,11.1,4.0,3.1,0.05,0.13700000000000000,0.21600000000000000,0.5530000000000000,0.207
Tony Battie,3200000,BOS,25.0,210.82,108.86208,USA,1997,1,5,40,6.5,5.8,0.4,0.096,0.21600000000000000,0.14400000000000000,0.562,0.034
Tony Delk,2250000,PHX,27.0,187.96,85.728888,USA,1996,1,16,82,12.3,3.2,2.0,0.038,0.09300000000000000,0.217,0.49,0.11800000000000000
Tony Massenburg,1360000,VAN,33.0,205.74,113.398,USA,1990,2,43,52,4.5,4.0,0.2,0.10400000000000000,0.184,0.158,0.507,0.018000000000000000
Tony Smith,,ATL,33.0,190.5,83.91452,USA,1990,2,51,6,2.8,0.5,1.7,0.033,0.016,0.191,0.35600000000000000,0.204
Tracy McGrady,9658000,ORL,22.0,203.2,95.25432,USA,1997,1,9,77,26.8,7.5,4.6,0.067,0.142,0.311,0.521,0.218
Tracy Murray,3060000,TOR,29.0,200.66,103.418976,USA,1992,1,18,51,5.0,1.6,0.5,0.04,0.11800000000000000,0.217,0.48200000000000000,0.068
Trajan Langdon,1500000,CLE,25.0,190.5,89.357624,USA,1999,1,11,65,6.0,1.4,1.2,0.013000000000000000,0.081,0.161,0.561,0.11900000000000000
Travis Best,3250000,IND,28.0,180.34,83.46092800000000,USA,1995,1,23,77,11.9,2.9,6.1,0.018000000000000000,0.083,0.193,0.517,0.34
Travis Knight,3200000,NYK,26.0,213.36,106.59412000000000,USA,1996,1,29,45,0.6,1.2,0.1,0.08800000000000000,0.15,0.135,0.23800000000000000,0.038
Troy Hudson,523000,ORL,25.0,185.42,77.11064,USA,Undrafted,Undrafted,Undrafted,75,4.8,1.4,2.2,0.041000000000000000,0.075,0.22,0.42700000000000000,0.26900000000000000
Tyrone Corbin,,TOR,38.0,198.12,95.25432,USA,1985,2,35,15,1.3,0.9,0.3,0.027000000000000000,0.10400000000000000,0.16,0.252,0.059000000000000000
Tyrone Hill,7415000,PHI,33.0,205.74,113.398,USA,1990,1,11,76,9.6,9.0,0.6,0.11600000000000000,0.21,0.16,0.515,0.033
Tyrone Nesby,2990000,WAS,25.0,198.12,111.13004,USA,Undrafted,Undrafted,Undrafted,62,8.3,2.8,1.2,0.037000000000000000,0.09300000000000000,0.184,0.444,0.08200000000000000
Tyronn Lue,865000,LAL,24.0,182.88,80.73937600000000,USA,1998,1,23,38,3.4,0.8,1.2,0.012,0.066,0.14800000000000000,0.51,0.157
Tyus Edney,523000,IND,28.0,177.8,75.296272,USA,1995,2,47,24,4.4,1.0,2.3,0.021,0.08200000000000000,0.225,0.49,0.37800000000000000
Vernon Maxwell,161000,DAL,35.0,193.04,86.18248,USA,1988,2,47,43,4.7,1.5,1.1,0.007000000000000000,0.1,0.187,0.424,0.12
Vin Baker,10125000,SEA,29.0,210.82,113.398,USA,1993,1,8,76,12.2,5.7,1.2,0.098,0.139,0.23800000000000000,0.48100000000000000,0.07200000000000000
Vince Carter,2425000,TOR,24.0,198.12,102.0582,USA,1998,1,5,75,27.6,5.5,3.9,0.065,0.09300000000000000,0.305,0.551,0.187
Vinny Del Negro,2100000,PHX,34.0,193.04,90.7184,USA,1988,2,29,65,3.9,1.3,1.9,0.014000000000000000,0.091,0.13700000000000000,0.501,0.213
Vitaly Potapenko,4286000,BOS,26.0,208.28,129.27372,Ukraine,1996,1,12,82,7.5,6.0,0.8,0.121,0.192,0.166,0.517,0.059000000000000000
Vlade Divac,9641000,SAC,33.0,215.9,117.93392,Serbia and Montenegro,1989,1,26,81,12.0,8.3,2.9,0.096,0.205,0.2,0.536,0.14300000000000000
Vladimir Stepania,,NJN,25.0,213.36,107.047712,Georgia,1998,1,27,29,2.8,3.8,0.6,0.125,0.303,0.191,0.39800000000000000,0.107
Vonteego Cummings,757000,GSW,25.0,190.5,86.18248,USA,1999,1,26,66,7.3,2.1,3.4,0.03,0.073,0.183,0.425,0.253
Voshon Lenard,3780000,DEN,28.0,193.04,92.98636000000000,USA,1994,2,46,80,12.2,2.9,2.4,0.021,0.087,0.198,0.522,0.134
Wally Szczerbiak,2162000,MIN,24.0,200.66,110.676448,USA,1999,1,6,82,14.0,5.5,3.2,0.053,0.125,0.182,0.5660000000000000,0.141
Walt Williams,4500000,HOU,31.0,203.2,104.32616,USA,1992,1,7,72,8.3,3.4,1.3,0.023,0.151,0.187,0.527,0.102
Walter McCarty,2812000,BOS,27.0,208.28,104.32616,USA,1996,1,19,60,2.2,1.4,0.7,0.057,0.141,0.147,0.474,0.136
Wang Zhi-zhi,,DAL,23.0,215.9,99.79024,China,1999,2,36,5,4.8,1.4,0.0,0.029000000000000000,0.17600000000000000,0.285,0.513,0.0
Wesley Person,5600000,CLE,30.0,198.12,90.7184,USA,1994,1,23,44,7.1,3.0,1.5,0.014000000000000000,0.14400000000000000,0.163,0.514,0.109
Will Perdue,2250000,POR,35.0,213.36,108.86208,USA,1988,1,11,13,1.1,1.4,0.2,0.14,0.293,0.085,0.6510000000000000,0.053
William Avery,1286000,MIN,21.0,187.96,89.357624,USA,1999,1,14,55,2.8,0.5,1.4,0.013000000000000000,0.057,0.2,0.48200000000000000,0.28600000000000000
Zan Tabak,1210000,IND,31.0,213.36,116.573144,USA,1991,2,51,55,3.9,3.9,0.6,0.10400000000000000,0.203,0.161,0.523,0.07
Zendon Hamilton,316000,LAC,26.0,210.82,115.212368,USA,Undrafted,Undrafted,Undrafted,3,3.0,2.7,0.0,0.14300000000000000,0.294,0.306,0.359,0.0
Zydrunas Ilgauskas,10130000,CLE,26.0,220.98,117.93392,Lithuania,1996,1,20,24,11.7,6.7,0.8,0.129,0.171,0.245,0.524,0.057
