player_name,salary,team_abbreviation,age,player_height,player_weight,country,draft_year,draft_round,draft_number,games_played,pts,reb,ast,offensive_reb_pct,defensive_reb_pct,usage_pct,true_shooting_pct,assist_pct
Mark Jackson,3565000,NYK,36.0,190.5,92.98636000000000,USA,1987,1,18,83,7.6,3.7,8.0,0.028000000000000000,0.107,0.14300000000000000,0.505,0.396
Mark Madsen,707000,LAL,25.0,205.74,108.86208,USA,2000,1,29,70,2.0,2.2,0.3,0.127,0.13700000000000000,0.10800000000000000,0.53,0.06
Mark Pope,498000,MIL,28.0,208.28,106.59412000000000,USA,1996,2,52,63,2.4,2.3,0.6,0.066,0.105,0.083,0.48,0.052000000000000000
Mark Strickland,,NJN,30.0,208.28,99.79024,USA,Undrafted,Undrafted,Undrafted,55,4.5,2.9,0.4,0.078,0.17300000000000000,0.183,0.465,0.059000000000000000
Mateen Cleaves,1253000,DET,23.0,187.96,92.98636000000000,USA,2000,1,14,78,5.4,1.7,2.7,0.022000000000000000,0.091,0.205,0.45800000000000000,0.281
Matt Bullard,1481000,HOU,34.0,208.28,106.59412000000000,USA,Undrafted,Undrafted,Undrafted,61,5.8,2.1,0.7,0.027000000000000000,0.11800000000000000,0.151,0.569,0.067
Matt Geiger,7515000,PHI,31.0,215.9,112.490816,USA,1992,2,42,35,6.1,4.0,0.4,0.1,0.191,0.22700000000000000,0.43,0.047
Matt Harpring,1244000,CLE,25.0,200.66,104.779752,USA,1998,1,15,56,11.1,4.3,1.8,0.065,0.105,0.191,0.522,0.11
Matt Maloney,548000,ATL,29.0,190.5,90.7184,USA,Undrafted,Undrafted,Undrafted,55,6.7,2.1,2.8,0.011000000000000000,0.081,0.14,0.508,0.187
Maurice Taylor,,HOU,24.0,205.74,117.93392,USA,1997,1,14,69,13.0,5.5,1.5,0.065,0.16,0.231,0.518,0.096
Metta World Peace,1160000,CHI,21.0,200.66,111.58363200000000,USA,1999,1,16,76,11.9,3.9,3.0,0.029000000000000000,0.124,0.217,0.483,0.171
Michael Curry,2200000,DET,32.0,195.58,95.25432,USA,Undrafted,Undrafted,Undrafted,68,5.2,1.8,1.9,0.015,0.077,0.124,0.507,0.138
Michael Dickerson,1310000,VAN,26.0,193.04,86.18248,USA,1998,1,14,70,16.3,3.3,3.3,0.032,0.069,0.226,0.501,0.157
Michael Doleac,,ORL,24.0,210.82,118.841104,USA,1998,1,12,77,6.4,3.5,0.8,0.055,0.171,0.196,0.44300000000000000,0.077
Michael Finley,8400000,DAL,28.0,200.66,97.52228000000000,USA,1995,1,21,82,21.5,5.2,4.4,0.036000000000000000,0.1,0.249,0.521,0.18
Michael Hawkins,,CLE,28.0,182.88,80.73937600000000,USA,Undrafted,Undrafted,Undrafted,10,0.8,0.5,1.3,0.029000000000000000,0.054000000000000000,0.094,0.444,0.271
Michael Olowokandi,3697000,LAC,26.0,213.36,131.995272,Nigeria,1998,1,1,82,8.5,6.4,0.6,0.09300000000000000,0.192,0.209,0.451,0.038
Michael Redd,316000,MIL,21.0,198.12,97.068688,USA,2000,2,43,6,2.2,0.7,0.2,0.073,0.038,0.28300000000000000,0.3,0.056000000000000000
Michael Ruffin,,CHI,24.0,203.2,112.490816,USA,1999,2,32,45,2.6,5.8,0.9,0.134,0.225,0.091,0.48,0.07
Michael Smith,,WAS,29.0,203.2,108.86208,USA,1994,2,35,79,3.8,7.1,1.3,0.11900000000000000,0.29,0.095,0.527,0.099
Michael Stewart,3520000,TOR,26.0,208.28,104.32616,USA,Undrafted,Undrafted,Undrafted,26,1.3,1.1,0.1,0.131,0.14800000000000000,0.16700000000000000,0.39400000000000000,0.03
Mike Bibby,3308000,VAN,23.0,185.42,86.18248,USA,1998,1,2,82,15.9,3.7,8.4,0.017,0.091,0.21100000000000000,0.525,0.376
Mike Miller,2320000,ORL,21.0,203.2,98.88305600000000,USA,2000,1,5,82,11.9,4.0,1.7,0.03,0.122,0.183,0.541,0.095
Mike Penberthy,,LAL,26.0,190.5,81.64656,USA,Undrafted,Undrafted,Undrafted,53,5.0,1.2,1.3,0.013000000000000000,0.067,0.141,0.5670000000000000,0.129
Mike Smith,316000,WAS,25.0,203.2,88.45044,USA,2000,2,35,17,3.0,1.3,0.6,0.061,0.084,0.177,0.386,0.09300000000000000
Mikki Moore,2848000,DET,25.0,213.36,104.32616,USA,Undrafted,Undrafted,Undrafted,81,4.4,3.9,0.4,0.114,0.187,0.151,0.552,0.049
Milt Palacio,326000,BOS,23.0,190.5,88.45044,Belize,Undrafted,Undrafted,Undrafted,58,5.9,1.8,2.6,0.024,0.08,0.155,0.556,0.23400000000000000
Mitch Richmond,,WAS,36.0,195.58,97.52228000000000,USA,1988,1,5,37,16.2,2.9,3.0,0.014000000000000000,0.09300000000000000,0.24,0.521,0.16
Monty Williams,548000,ORL,29.0,203.2,102.0582,USA,1994,1,24,82,5.0,3.0,1.0,0.08,0.145,0.191,0.485,0.122
Moochie Norris,523000,HOU,27.0,185.42,79.3786,USA,1996,2,33,82,6.6,2.4,3.5,0.031,0.106,0.16900000000000000,0.546,0.284
Mookie Blaylock,4800000,GSW,34.0,185.42,83.91452,USA,1989,1,12,69,11.0,3.9,6.7,0.03,0.09700000000000000,0.174,0.455,0.32
Morris Peterson,898000,TOR,23.0,200.66,98.88305600000000,USA,2000,1,21,80,9.3,3.2,1.3,0.068,0.094,0.20200000000000000,0.507,0.09300000000000000
Muggsy Bogues,1740000,TOR,36.0,160.02,61.688512,USA,1987,1,12,3,0.0,1.0,1.7,0.0,0.12,0.078,0.0,0.294
Nazr Mohammed,739000,ATL,23.0,208.28,108.86208,USA,1998,1,29,58,7.6,5.3,0.3,0.135,0.233,0.23,0.52,0.034
Nick Anderson,,SAC,33.0,198.12,103.418976,USA,1989,1,11,21,1.8,1.2,0.6,0.019,0.136,0.171,0.33300000000000000,0.125
Nick Van Exel,8184000,DEN,29.0,185.42,86.18248,USA,1993,2,37,71,17.7,3.4,8.5,0.018000000000000000,0.08,0.23400000000000000,0.515,0.38300000000000000
Obinna Ekezie,,DAL,25.0,205.74,117.93392,Nigeria,1999,2,37,33,3.1,2.4,0.3,0.133,0.201,0.193,0.484,0.06
Olden Polynice,2200000,UTA,36.0,213.36,113.398,USA,1987,1,8,81,5.3,4.7,0.4,0.122,0.165,0.15,0.484,0.029000000000000000
Olumide Oyedeji,316000,SEA,20.0,208.28,108.86208,Nigeria,2000,2,42,30,1.5,2.2,0.1,0.13700000000000000,0.21900000000000000,0.114,0.532,0.014000000000000000
Othella Harrington,2250000,NYK,27.0,205.74,106.59412000000000,USA,1996,2,30,74,9.0,5.2,0.8,0.09300000000000000,0.155,0.192,0.5490000000000000,0.052000000000000000
Otis Thorpe,2200000,CHH,38.0,208.28,112.490816,USA,1984,1,9,49,2.8,3.0,0.6,0.095,0.174,0.126,0.48700000000000000,0.077
P.J. Brown,5764000,CHH,31.0,210.82,108.86208,USA,1992,2,29,80,8.5,9.3,1.6,0.10400000000000000,0.19900000000000000,0.124,0.518,0.071
Pat Garrity,1019000,ORL,24.0,205.74,107.95489600000000,USA,1998,1,19,76,8.3,2.8,0.7,0.034,0.11900000000000000,0.192,0.507,0.056000000000000000
Patrick Ewing,14000000,SEA,38.0,213.36,115.66596000000000,Jamaica,1985,1,1,79,9.6,7.4,1.2,0.066,0.248,0.20200000000000000,0.478,0.071
Paul McPherson,316000,GSW,22.0,193.04,95.25432,USA,Undrafted,Undrafted,Undrafted,55,4.8,1.4,0.7,0.069,0.078,0.204,0.542,0.105
Paul Pierce,1608000,BOS,23.0,198.12,104.32616,USA,1998,1,10,82,25.3,6.4,3.1,0.034,0.16700000000000000,0.306,0.563,0.166
Peja Stojakovic,1310000,SAC,24.0,205.74,103.872568,Serbia and Montenegro,1996,1,14,75,20.4,5.8,2.2,0.036000000000000000,0.124,0.223,0.5760000000000000,0.094
Pepe Sanchez,,PHI,24.0,193.04,88.45044,Argentina,Undrafted,Undrafted,Undrafted,29,0.7,0.5,1.4,0.023,0.08900000000000000,0.107,0.34600000000000000,0.402
Pervis Ellison,,SEA,34.0,205.74,95.25432,USA,1989,1,1,9,0.7,1.3,0.3,0.065,0.23800000000000000,0.115,0.381,0.125
Popeye Jones,2815000,WAS,31.0,203.2,113.398,USA,1992,2,41,45,3.6,4.9,0.7,0.141,0.267,0.134,0.457,0.075
Quentin Richardson,1020000,LAC,21.0,198.12,101.151016,USA,2000,1,18,76,8.1,3.4,0.8,0.08800000000000000,0.127,0.218,0.516,0.08200000000000000
Quincy Lewis,1000000,UTA,24.0,200.66,97.52228000000000,USA,1999,1,19,35,3.5,1.3,0.5,0.046,0.1,0.172,0.469,0.077
Raef LaFrentz,2970000,DEN,25.0,210.82,108.86208,USA,1998,1,3,78,12.9,7.8,1.4,0.075,0.191,0.18600000000000000,0.544,0.073
Rafer Alston,423000,MIL,24.0,187.96,78.471416,USA,1998,2,39,37,2.1,0.8,1.8,0.015,0.114,0.17800000000000000,0.429,0.386
Raja Bell,24000,PHI,24.0,195.58,92.532768,U.S. Virgin Islands,Undrafted,Undrafted,Undrafted,5,1.0,0.2,0.0,0.0,0.038,0.138,0.35700000000000000,0.0
Randy Brown,2250000,BOS,33.0,187.96,86.18248,USA,1991,2,31,54,4.1,1.8,2.9,0.021,0.078,0.115,0.43800000000000000,0.19700000000000000
Randy Livingston,,GSW,26.0,193.04,95.25432,USA,1996,2,42,2,0.0,0.5,0.5,0.0,0.16700000000000000,0.13,0.0,0.33300000000000000
Rashard Lewis,3920000,SEA,21.0,208.28,97.52228000000000,USA,1998,2,32,78,14.8,6.9,1.6,0.06,0.165,0.182,0.5870000000000000,0.073
Rasheed Wallace,12600000,POR,26.0,210.82,104.32616,USA,1995,1,4,77,19.2,7.8,2.8,0.063,0.177,0.23400000000000000,0.56,0.128
Rasho Nesterovic,1123000,MIN,25.0,213.36,113.398,Slovenia,1998,1,17,73,4.5,3.9,0.6,0.08800000000000000,0.171,0.147,0.47200000000000000,0.053
Ray Allen,10125000,MIL,25.0,195.58,92.98636000000000,USA,1996,1,5,82,22.0,5.2,4.6,0.037000000000000000,0.11600000000000000,0.242,0.61,0.19900000000000000
Reggie Miller,10666000,IND,35.0,200.66,91.625584,USA,1987,1,11,81,18.9,3.5,3.2,0.014000000000000000,0.086,0.215,0.574,0.145
Reggie Slater,,MIN,30.0,200.66,115.66596000000000,USA,Undrafted,Undrafted,Undrafted,55,4.6,3.4,0.5,0.133,0.17300000000000000,0.174,0.568,0.055
Richard Hamilton,1973000,WAS,23.0,198.12,83.91452,USA,1999,1,7,78,18.1,3.1,2.9,0.034,0.076,0.281,0.508,0.172
Rick Brunson,507000,NYK,29.0,193.04,86.18248,USA,Undrafted,Undrafted,Undrafted,22,2.1,1.0,1.4,0.026000000000000000,0.091,0.166,0.38,0.287
Rick Fox,3412000,LAL,31.0,200.66,109.769264,Canada,1991,1,24,82,9.6,4.0,3.2,0.04,0.11600000000000000,0.162,0.562,0.168
Ricky Davis,939000,MIA,21.0,200.66,89.357624,USA,1998,1,21,7,4.6,1.0,1.6,0.015,0.083,0.22900000000000000,0.49200000000000000,0.23400000000000000
Robert Horry,5300000,LAL,30.0,208.28,106.59412000000000,USA,1992,1,11,79,5.2,3.7,1.6,0.068,0.149,0.141,0.489,0.124
Robert Pack,4320000,DEN,32.0,187.96,86.18248,USA,Undrafted,Undrafted,Undrafted,74,6.5,1.9,4.0,0.025,0.094,0.213,0.493,0.375
Robert Traylor,2203000,CLE,24.0,203.2,131.088088,USA,1998,1,6,70,5.7,4.3,0.9,0.12,0.175,0.18100000000000000,0.521,0.08800000000000000
Rod Strickland,2250000,POR,34.0,190.5,83.91452,USA,1988,1,19,54,9.2,2.6,5.6,0.031,0.08900000000000000,0.204,0.493,0.385
Rodney Buford,288000,PHI,23.0,195.58,85.728888,USA,1999,2,53,47,5.3,1.6,0.4,0.031,0.11700000000000000,0.22400000000000000,0.489,0.055
Rodney Rogers,2200000,PHX,30.0,200.66,115.66596000000000,USA,1993,1,9,82,12.2,4.4,2.2,0.049,0.14400000000000000,0.23200000000000000,0.507,0.145
Ron Harper,2200000,LAL,37.0,198.12,97.52228000000000,USA,1986,1,8,47,6.5,3.5,2.4,0.046,0.11600000000000000,0.139,0.525,0.14400000000000000
Ron Mercer,5515000,CHI,25.0,200.66,95.25432,USA,1997,1,6,61,19.7,3.9,3.3,0.033,0.08,0.248,0.49200000000000000,0.16
Roshown McLeod,978000,PHI,25.0,203.2,100.243832,USA,1998,1,20,35,9.6,3.4,1.7,0.046,0.1,0.205,0.475,0.11200000000000000
Ruben Garces,,GSW,27.0,205.74,111.13004,USA,Undrafted,Undrafted,Undrafted,13,1.2,2.2,0.4,0.172,0.16700000000000000,0.149,0.313,0.08800000000000000
Ruben Patterson,990000,SEA,25.0,195.58,101.604608,USA,1998,2,31,76,13.0,5.0,2.1,0.106,0.11,0.23200000000000000,0.544,0.13
Ruben Wolkowyski,316000,SEA,27.0,208.28,122.46984000000000,Argentina,Undrafted,Undrafted,Undrafted,34,2.2,1.4,0.1,0.043,0.113,0.153,0.39900000000000000,0.015
Ryan Bowen,508000,DEN,25.0,200.66,99.79024,USA,1998,2,55,57,3.4,2.0,0.5,0.09300000000000000,0.083,0.11700000000000000,0.585,0.068
Sam Cassell,3500000,MIL,31.0,190.5,83.91452,USA,1993,1,24,76,18.2,3.8,7.6,0.019,0.098,0.24600000000000000,0.542,0.34600000000000000
